id,"Situation of Penalty","Drug Use","Drug Operations"
1,"Execution of the penalty",439,44
2,"Suspension of the penalty",473,33
3,"Criminal fine",93,0
4,"Deferred execution of the penalty",74,0
5,"Non-custodial measures - minors",5,0
